x,Curve1
0.0633696,-0.00853333
0.0669916,-0.00824242
0.0698092,-0.00775758
0.0732303,-0.00727273
0.0764502,-0.00678788
0.0796703,-0.00620606
0.0826891,-0.00562424
0.0859093,-0.00494545
0.0893309,-0.00407273
0.0923505,-0.00290909
0.0957729,-0.00135758
0.0987937,0.000775758
0.102017,0.00358788
0.105038,0.00659394
0.108261,0.00950303
0.111685,0.0117333
0.114905,0.0128
0.118125,0.0128
0.121142,0.0119273
0.124359,0.0102788
0.127576,0.00833939
0.130793,0.0064
0.13401,0.00455758
0.137227,0.00300606
0.140244,0.00164848
0.143461,0.000581818
0.14668,-0.000387879
0.149898,-0.00126061
0.153116,-0.00203636
0.156335,-0.00261818
0.159553,-0.00310303
0.162772,-0.00378182
0.165991,-0.0041697
0.169008,-0.00465455
0.172227,-0.00513939
0.175245,-0.00552727
0.178665,-0.00591515
0.181883,-0.00630303
0.185102,-0.00659394
0.188321,-0.00698182
0.191741,-0.00727273
0.194759,-0.00766061
0.197978,-0.00795152
0.200996,-0.00824242
0.204215,-0.00853333
0.207635,-0.00882424
0.210653,-0.00901818
0.213872,-0.00930909
0.217091,-0.00950303
0.22031,-0.00979394
0.223529,-0.0100848
0.226748,-0.0102788
0.229967,-0.0104727
