x,fluid,structure
0.0908018,0.0458181,-0.00769098
0.0939271,0.0468329,-0.00736177
0.0941608,0.0469087,-0.00736102
0.0972359,0.0478607,-0.0073512
0.0972867,0.0478764,-0.00736206
0.100176,0.0496559,-0.00798028
0.100413,0.0498018,-0.00807099
0.103484,0.052006,-0.00924666
0.10354,0.0520464,-0.00927911
0.105138,0.0538444,-0.0101991
0.106607,0.0554986,-0.0114713
0.106669,0.055568,-0.0115366
0.109913,0.0596424,-0.0149723
0.109981,0.0597286,-0.0150502
0.11311,0.0635694,-0.0185963
0.114687,0.0657022,-0.0203841
0.114766,0.0658093,-0.020445
0.116422,0.0674108,-0.0217187
0.117894,0.0690116,-0.022851
0.117994,0.0690886,-0.0229274
0.119463,0.0702268,-0.0238804
0.11955,0.0702939,-0.0239135
0.121117,0.0709035,-0.0245136
0.121205,0.0709376,-0.0245302
0.122771,0.0715469,-0.0248275
0.12286,0.0715814,-0.0248273
0.124242,0.0715858,-0.0248229
0.124331,0.0715861,-0.0248055
0.125897,0.0712888,-0.0244983
0.125985,0.0712721,-0.0244641
0.127552,0.0709747,-0.0238546
0.127639,0.0709581,-0.0237976
0.129023,0.0697596,-0.0228922
0.129108,0.0696859,-0.0227996
0.130495,0.068351,-0.0212913
0.130761,0.068095,-0.0210341
0.132151,0.0664886,-0.0196899
0.132414,0.0661849,-0.0193346
0.133807,0.0637651,-0.0174499
0.133882,0.0636357,-0.0173205
0.135465,0.0605817,-0.0145715
0.135534,0.0604486,-0.014407
0.136938,0.0574654,-0.0110553
0.137185,0.0569423,-0.010438
0.138597,0.0523356,-0.00689993
0.138651,0.0521585,-0.00674306
0.140255,0.0471958,-0.00210613
0.140301,0.047056,-0.00196904
0.14173,0.042912,0.00236785
0.141951,0.0422728,0.00270846
0.143387,0.0397791,0.00492701
0.143419,0.0397236,0.00495178
0.145042,0.037847,0.00620923
0.145072,0.0378135,0.00622193
0.146514,0.037505,0.0068524
0.146542,0.0374989,0.00685249
0.148352,0.0368758,0.00685827
0.148379,0.0368663,0.00685237
0.149822,0.0365925,0.00654373
0.150034,0.0365524,0.0065444
0.151477,0.036557,0.00654901
0.151504,0.0365571,0.00653712
0.152947,0.0365617,0.00591523
0.153159,0.0365624,0.00582383
0.154417,0.0365664,0.00528146
0.154629,0.0365671,0.00524521
0.1561,0.036891,0.00499443
0.156255,0.0368915,0.00496809
0.157909,0.0368968,0.00465414
0.157938,0.0368969,0.00464136
0.159379,0.0365887,0.00402036
0.159409,0.0365823,0.00401468
0.161033,0.0369008,0.00370641
0.161063,0.0369068,0.00370062
0.162687,0.036912,0.00339246
0.162902,0.0369127,0.00325328
0.164157,0.0369167,0.00243945
0.165811,0.036922,0.00212549
0.167281,0.0369267,0.00181095
0.168935,0.036932,0.00117777
0.170589,0.0369372,0.000544577
0.170622,0.0369373,0.000530156
0.172059,0.0369999,-8.9198e-05
0.173897,0.03708,-0.000402564
0.175183,0.0371361,-0.000717691
0.177021,0.0372162,-0.00135029
0.178491,0.0372802,-0.00166483
0.178527,0.0372818,-0.00167163
0.180145,0.0373494,-0.00197879
0.181799,0.0374185,-0.00261197
0.183269,0.03748,-0.00292651
0.184923,0.0375491,-0.0035597
0.186577,0.0376182,-0.00387366
0.186799,0.0376275,-0.00392114
0.188048,0.0376314,-0.0041882
0.189518,0.0376361,-0.00482197
0.191356,0.037642,-0.00513534
0.192826,0.0376467,-0.00544988
0.19448,0.037652,-0.00608307
0.196134,0.0376573,-0.00639702
0.197604,0.0376619,-0.00671156
0.197829,0.0376627,-0.0068084
0.199074,0.0376666,-0.00734533
0.200912,0.0376725,-0.00733947
0.202383,0.0376772,-0.00765401
0.204037,0.0376825,-0.00796796
0.205507,0.0376872,-0.0082825
0.207345,0.037693,-0.00859587
0.208815,0.0376977,-0.00891041
0.210286,0.0377024,-0.00922495
0.210513,0.0377032,-0.00926802
0.21194,0.0377554,-0.0095389
0.213594,0.0378159,-0.00985285
0.215064,0.0378697,-0.0101674
0.216718,0.0379302,-0.0104813
0.218372,0.0379907,-0.0107953
0.220027,0.0380512,-0.0111093
0.220072,0.0380529,-0.0111178
0.221681,0.038058,-0.0114232
0.223335,0.0380633,-0.0117372
0.224805,0.038068,-0.0120517
0.226275,0.0380727,-0.0123662
0.22793,0.038078,-0.012361
0.229584,0.0380833,-0.0126749
0.231238,0.0380886,-0.0126696
0.232709,0.0380932,-0.0129842
0.234363,0.0380985,-0.0129789
0.23441,0.0380987,-0.0129787
