x,FEM2,FEM1
3,0.286897,0.119875
3.99482,0.210909,0.120627
4.49223,0.185329,0.121379
4.98964,0.165016,0.122111
5.00345,0.164548,0.122132
5.50086,0.147712,0.123636
5.6943,0.145455,0.123636
5.79102,0.139436,0.124295
5.80484,0.13906,0.124389
5.90155,0.136426,0.125141
6.19171,0.131912,0.124389
6.39896,0.129655,0.122884
6.5924,0.127398,0.121379
6.68912,0.12674,0.120627
6.70294,0.126646,0.120533
6.79965,0.125893,0.119875
7.20035,0.122884,0.117338
7.39378,0.121379,0.116113
7.60104,0.120627,0.115361
7.79447,0.119122,0.114271
8.00173,0.11837,0.113103
8.19516,0.117618,0.112014
8.40242,0.116865,0.110846
8.59585,0.116113,0.109757
9.18998,0.114608,0.10641
9.2038,0.114558,0.106332
9.39724,0.113856,0.104828
9.99136,0.113856,0.100416
10.0052,0.113856,0.100313
10.5026,0.113856,0.0957994
11,0.114608,0.09279
