x,FEM2,FEM1
3,-0.0563922,0.0345882
3.99482,-0.0286868,0.0328034
4.49223,-0.0139862,0.0309698
4.50604,-0.0135778,0.0309033
4.98964,0.0040382,0.0285766
5.00345,0.00461472,0.0285101
5.48705,0.0247928,0.0230674
5.50086,0.0251707,0.0229118
5.6943,0.0304602,0.020421
5.79102,0.0436462,0.0138423
5.80484,0.0447456,0.0129024
5.90155,0.0524413,0.00663741
6.19171,0.0794502,-0.0134126
6.39896,0.0907646,-0.0209217
6.5924,0.098313,-0.0259223
6.68912,0.100832,-0.0270109
6.70294,0.101147,-0.0271664
6.79965,0.103353,-0.0290392
7.20035,0.107784,-0.0319621
7.39378,0.108431,-0.0333732
7.60104,0.108451,-0.0339803
7.79447,0.107215,-0.0339613
8.00173,0.105353,-0.033941
8.19516,0.102862,-0.0331049
8.40242,0.0997453,-0.0322091
8.59585,0.096627,-0.031373
9.18998,0.0853912,-0.0288049
9.39724,0.0810193,-0.0275297
9.99136,0.0697835,-0.0255891
10.4888,0.0635577,-0.0267613
10.5026,0.0634573,-0.0267939
11,0.0598431,-0.0298824
