80107	
	(1.515143857e-32,-1.257397723e-32)	(0.8627088973,-0.09041543232)	(-0.01998160457,0.03754490732)	(0.8634917308,-0.07357279804)	(-0.02531885647,0.04261280505)
	(0.8649153762,-0.03207862347)	(1.530339365e-32,-1.167384573e-32)	(0.865056682,-0.05011213988)	(-1.332508591e-05,1.873637648e-06)	(1.61806855e-32,-1.112974649e-32)
	(0.8655095111,-0.009735118659)	(-0.02944159624,0.04045020373)	(0.8620759237,0.05014445462)	(1.708778216e-32,-9.600895557e-33)	(0.8606725425,0.07102934724)
	(1.622577319e-32,-1.021873108e-32)	(0.8640393468,0.03061720282)	(2.136953353e-05,-8.276184441e-06)	(-0.02722608859,0.04141359306)	(0.8645148293,0.008270311083)
	(1.703496746e-32,-8.678258917e-33)	(0.8553724273,0.1112376036)	(2.083023979e-05,-6.110245616e-06)	(-0.03125135544,0.03904931995)	(0.8577707321,0.09044138963)
	(1.780582776e-32,-7.989042581e-33)	(0.848165191,0.1511549485)	(-0.0318419408,0.03671389991)	(0.8525519063,0.1250125716)	(1.887390226e-32,-4.590925975e-33)
	(0.8005710614,0.3060335665)	(1.918372793e-32,-1.084663938e-33)	(0.7244368415,0.4489571553)	(-0.03854551735,0.0203614612)	(0.7376233772,0.4275980939)
	(1.906985611e-32,-2.846420843e-33)	(0.7659483056,0.379335716)	(-0.0400978716,0.02565792005)	(0.7733689402,0.3639323)	(1.856094901e-32,-3.725474792e-33)
	(0.7841882361,0.3431030388)	(-4.62893342e-05,-1.357527749e-05)	(1.876918206e-32,-2.004700421e-33)	(0.7460209486,0.4146430451)	(3.142342626e-05,8.572113465e-06)
	(-0.03909666254,0.027352016)	(0.7890531152,0.3312677226)	(-0.04120860258,0.02376597542)	(0.7541604166,0.399616606)	(-0.03942517429,0.01854658286)
	(0.715393453,0.4614734829)	(-0.05805860305,0.02505362102)	(0.6986928297,0.4839730217)	(-0.03298099785,0.01330484502)	(0.6866131799,0.5009736148)
	(1.909036608e-32,6.668539804e-34)	(0.676404043,0.5142338343)	(1.876203723e-32,-2.727665768e-34)	(0.7012185275,0.4821790034)	(2.002688791e-05,-3.608375885e-06)
	(-1.925451108e-32,2.387945215e-33)	(-0.8233120439,-0.3304903267)	(-0.01824917676,0.0384140695)	(0.8600595722,-0.1137825791)	(-0.02362299454,0.0551634418)
	(0.8551187546,-0.1483655154)	(1.400805581e-32,-1.392519643e-32)	(0.8523195687,-0.1704516829)	(1.421260326e-32,-1.301364433e-32)	(0.8584488482,-0.1305566171)
	(6.524245778e-05,-3.185505054e-05)	(-0.02109782832,0.05617983339)	(0.8481522856,-0.1880816277)	(-0.01541212145,0.04676567872)	(0.8406375463,-0.2232353525)
	(1.275750766e-32,-1.516910383e-32)	(0.8344706412,-0.2491311516)	(1.298877818e-32,-1.425277706e-32)	(0.8443537446,-0.2100318214)	(-7.192264505e-05,2.578080951e-05)
	(-0.01328993888,0.04741685367)	(0.8301931723,-0.2621863684)	(-0.01353218114,0.05647257962)	(0.8199260292,-0.2939749343)	(1.16434382e-32,-1.533977427e-32)
	(0.8228185657,-0.2877693064)	(4.352981627e-06,-1.491098631e-05)	(-0.009044871724,0.04336414907)	(0.8113610763,-0.3192055748)	(1.135622574e-32,-1.627502872e-32)
	(0.8093897507,-0.3258221649)	(-0.05645578888,0.08172167389)	(0.8619292016,0.02705335502)	(-0.07871904867,0.1181591815)	(0.8603051122,0.01011584933)
	(-0.05851325349,0.1151666016)	(0.858578609,-0.09298990851)	(-0.04205530034,0.0931870558)	(0.8557485181,-0.132191589)	(-0.04486019964,0.0801923465)
	(0.8628855046,-0.05613475358)	(-0.03794221387,0.07595873993)	(0.8604086794,-0.09741616449)	(-0.003974138965,-0.01521303293)	(-0.05227011752,0.0839162444)
	(0.8632702596,-0.01479005325)	(-0.002911725804,-0.01823717669)	(-0.06725020908,0.1183000454)	(0.8606608849,-0.05188083386)	(-0.07977586405,0.1299914228)
	(0.8600828379,-0.02304348134)	(-9.75561158e-33,1.593467341e-32)	(-0.7535527232,0.4572500164)	(-1.254038121e-32,1.407262404e-32)	(-0.8261886212,0.311635009)
	(0.009369847549,-0.04920629215)	(-0.7983771707,0.374310429)	(-1.118490275e-32,1.506447465e-32)	(-0.7932241192,0.3862122202)	(0.007100482035,-0.0494707339)
	(-0.7799056482,0.4105789214)	(-1.164042479e-32,1.426989025e-32)	(-0.8105479753,0.3492985434)	(-3.654867251e-05,3.58838783e-05)	(-1.02905974e-32,1.521859971e-32)
	(-0.7741989813,0.4222027076)	(1.248464162e-06,4.705448594e-06)	(0.00462555917,-0.04462736724)	(-0.7628827072,0.4409213167)	(0.01195415119,-0.05117231374)
	(-0.8135378981,0.3408600922)	(1.851791454e-32,4.103735357e-33)	(0.5635835069,0.6285959603)	(-0.07934569849,0.05234910121)	(0.7779010267,0.3511850174)
	(1.77002828e-32,-7.070624836e-33)	(0.8390409194,0.1906873445)	(7.092716091e-05,-1.589793911e-06)	(-0.03625803064,0.0350527386)	(0.8359075019,0.2003938036)
	(-0.03348795571,0.03520502242)	(0.8446754203,0.1647805532)	(1.844960089e-32,-6.316629625e-33)	(0.8281285522,0.2297351142)	(-0.03782394695,0.02914195259)
	(0.8049339705,0.2939776775)	(-0.04379763878,0.03633520253)	(0.8156679591,0.2647965716)	(-0.03781549261,0.0333381928)	(0.8244640223,0.2392790335)
	(1.807342771e-32,-5.415006288e-33)	(0.8152560363,0.2682149853)	(2.120187584e-05,-1.020679101e-05)	(-0.06893114447,0.07071168728)	(0.8408716143,0.1736265493)
	(-0.1004287413,0.116953847)	(0.8489527661,0.1158663596)	(-0.08447922096,0.114642492)	(0.8577206103,0.05177303771)	(-0.06055031119,0.07931021448)
	(0.8585705656,0.06876559111)	(-0.001166190774,-0.01873052177)	(-0.06272654069,0.07576666174)	(0.8542611871,0.1034117698)	(-0.09659405841,0.1219332394)
	(0.8537307475,0.08140460883)	(-0.0927259417,0.09982975635)	(0.8437916327,0.1508075356)	(-0.06473092291,0.07216964463)	(0.8485510762,0.137849036)
	(0.0004663490403,-0.01835549492)	(-0.1157444506,0.08641934744)	(0.7970880989,0.301524757)	(-0.1125762313,0.07677385339)	(0.7823755256,0.33646659)
	(-0.08246707573,0.06393413744)	(0.8045834741,0.2893799802)	(-0.07724202192,0.05565493077)	(0.7930377536,0.318334496)	(0.004432126211,-0.01779765948)
	(-0.1155184405,0.07198491854)	(0.7664589199,0.3688396776)	(-0.1221477893,0.06801898092)	(0.7456397769,0.4060821148)	(-0.121076709,0.0616409507)
	(0.7289620166,0.4339198734)	(-0.09654766649,0.04491105598)	(0.7123363818,0.4619517678)	(-0.07763899419,0.03921835039)	(0.7285225608,0.439428403)
	(0.006815964307,-0.01556094344)	(-0.07959700593,0.04399780922)	(0.7454542377,0.4117017567)	(-0.08133275605,0.04896412906)	(0.7613565145,0.3833446603)
	(0.00596956696,-0.01743559414)	(-0.1404057647,0.0658404811)	(0.7127149768,0.455962886)	(-0.03350321524,0.01176492536)	(0.6608924781,0.5322766233)
	(-0.06166713219,0.01666317693)	(0.6170965248,0.5784558775)	(-0.09386023759,0.03203350492)	(0.6552831688,0.5355876653)	(-0.1158415606,0.04933593822)
	(0.6953399331,0.4836944787)	(0.01141457597,-0.02198005107)	(1.819186403e-32,3.08327857e-33)	(0.5936894108,0.6021447585)	(0.0001935462685,0.0001133909629)
	(-0.06090498857,0.01948127908)	(0.6447848482,0.5494723674)	(-0.1188371629,0.04362538081)	(0.6679967476,0.5184277765)	(-0.1530061273,0.06344544426)
	(0.689442575,0.4868589784)	(-0.09148012488,0.03648962898)	(0.6835962714,0.5015213964)	(-0.04339206189,0.009560554276)	(0.5872287104,0.6074830341)
	(-0.06647786538,0.02474925842)	(0.6712227824,0.518651517)	(0.006949255864,-0.01212420429)	(1.890965043e-32,2.404703219e-33)	(0.6226425526,0.5742961405)
	(1.862850273e-32,1.439391013e-33)	(0.6500936797,0.5450403856)	(1.393637308e-05,-5.978004333e-06)	(-1.597903407e-32,1.032083937e-32)	(-0.8819209007,0.07347700642)
	(-1.498505706e-32,1.170823381e-32)	(-0.8707295457,0.1545810418)	(0.02144221773,-0.0413183108)	(-0.8748289293,0.1275781202)	(0.02138605348,-0.03752119788)
