49765	
	(-5.20141782e-34,1.036504242e-33)	(-1.085896391e-06,-3.013501771e-07)	(5.423871206e-34,2.329549999e-34)	(-1.414957372e-06,-5.154861742e-07)	(6.82141437e-34,1.025189571e-33)
	(-1.220924801e-06,-5.704283004e-07)	(6.125027714e-34,1.15663244e-33)	(-1.178939416e-06,-5.576691354e-07)	(-3.299150521e-09,-3.041778647e-08)	(-1.195811337e-06,-5.64126241e-07)
	(-2.993767018e-09,-2.381447503e-08)	(-1.21227644e-06,-5.686929769e-07)	(5.994284912e-34,1.180368547e-33)	(-1.199527651e-06,-5.649320017e-07)	(7.361661889e-11,-1.021615538e-10)
	(6.409806384e-34,3.653113644e-34)	(-1.384188771e-06,-5.402486801e-07)	(-6.733844856e-09,-2.585736693e-08)	(-1.388064915e-06,-5.382407981e-07)	(-5.830270411e-09,-2.245843527e-08)
	(-1.404432811e-06,-5.256409786e-07)	(6.205351e-34,4.355775842e-34)	(-1.400448538e-06,-5.285817443e-07)	(8.106085647e-11,3.185075936e-10)	(7.414224171e-34,6.83570765e-34)
	(-1.307928629e-06,-5.710234163e-07)	(6.840499036e-34,5.657727796e-34)	(-1.366775257e-06,-5.506102076e-07)	(2.153727026e-11,1.315099502e-10)	(-5.337888689e-09,-2.363737405e-08)
	(-1.314146203e-06,-5.700347958e-07)	(-6.875913437e-09,-2.681794114e-08)	(-1.370828615e-06,-5.489598009e-07)	(-5.46885004e-09,-2.304431661e-08)	(-1.332453e-06,-5.651531988e-07)
	(7.089890121e-34,5.273726021e-34)	(-1.348018499e-06,-5.591740073e-07)	(-5.535348754e-09,-2.217286974e-08)	(-1.35194554e-06,-5.579747917e-07)	(7.157229498e-34,7.148152129e-34)
	(-1.328440449e-06,-5.660674181e-07)	(1.097952911e-11,1.130543966e-10)	(-2.603066011e-34,6.467534537e-35)	(-1.455888583e-06,-3.39781868e-07)	(-6.232417591e-35,2.560767466e-35)
	(-1.466248523e-06,-3.764583794e-07)	(-1.446499308e-34,5.044137126e-35)	(-1.462491172e-06,-3.579665257e-07)	(-4.081291426e-11,-3.357373197e-11)	(1.163816902e-09,-1.600358555e-08)
	(-1.462476278e-06,-3.566421749e-07)	(5.23212558e-34,2.934992658e-34)	(-1.428012799e-06,-5.012500876e-07)	(9.173327447e-11,1.538709507e-10)	(-5.484224298e-09,-2.151671905e-08)
