49765	
	(-3.176247942e-34,-1.697418361e-34)	(4.779677735e-07,-1.340469029e-06)	(-1.636946511e-33,3.568947134e-34)	(6.85914921e-07,-1.14097926e-06)	(-1.50359131e-33,-5.039805929e-34)
	(4.589320507e-07,-1.115586338e-06)	(-1.383853626e-33,-6.120051041e-34)	(4.234580402e-07,-1.137248066e-06)	(3.131221799e-08,9.847963977e-09)	(4.371194254e-07,-1.127296471e-06)
	(2.514169317e-08,7.58630033e-09)	(4.512327216e-07,-1.119210409e-06)	(-1.413409039e-33,-6.260404708e-34)	(4.402099674e-07,-1.125655535e-06)	(-4.902064987e-11,5.939896085e-11)
	(-1.68668008e-33,1.795715546e-34)	(6.413189447e-07,-1.11696076e-06)	(3.93373875e-08,4.612903996e-09)	(6.465213409e-07,-1.118788116e-06)	(3.542016968e-08,3.443653149e-09)
	(6.698909108e-07,-1.130721555e-06)	(-1.721957167e-33,1.220225039e-34)	(6.642382624e-07,-1.127778278e-06)	(-1.369439463e-10,-3.485271586e-10)	(-1.674310818e-33,-1.835263538e-34)
	(5.471046069e-07,-1.097031581e-06)	(-1.726041776e-33,-3.860365828e-35)	(6.181066318e-07,-1.10826413e-06)	(-4.125104352e-11,-1.4213042e-10)	(3.055539421e-08,6.193723205e-09)
	(5.541293047e-07,-1.096952943e-06)	(3.927843855e-08,5.373068502e-09)	(6.233023479e-07,-1.109583242e-06)	(3.087974853e-08,5.695548192e-09)	(5.754297986e-07,-1.098668629e-06)
	(-1.701092157e-33,-1.238584389e-35)	(5.943185158e-07,-1.102148788e-06)	(3.103796963e-08,5.042686415e-09)	(5.991706678e-07,-1.102867587e-06)	(-1.695644187e-33,-2.019021839e-34)
	(5.707010031e-07,-1.098332503e-06)	(-2.525682062e-11,-1.193321153e-10)	(-8.808607596e-34,9.137975306e-34)	(8.159775088e-07,-1.387203029e-06)	(-1.12325493e-33,8.54614912e-34)
	(8.094041259e-07,-1.324388163e-06)	(-1.040062643e-33,8.742102402e-34)	(8.14444923e-07,-1.355004647e-06)	(6.279069672e-11,4.974511679e-11)	(2.913156322e-08,-3.321741541e-09)
	(8.150052198e-07,-1.357178963e-06)	(-1.672448491e-33,3.088865024e-34)	(7.067813762e-07,-1.156276567e-06)	(-1.428166126e-10,-1.942784949e-10)	(3.528492833e-08,2.606815135e-09)
	(6.914335991e-07,-1.144422978e-06)	(2.720745954e-08,1.5160207e-09)	(7.125113724e-07,-1.160902941e-06)	(-1.54810323e-33,5.131649653e-34)	(7.26583375e-07,-1.174182835e-06)
	(6.225696724e-08,4.009160692e-09)	(6.976715298e-07,-1.1478423e-06)	(-9.404500478e-34,-7.538733711e-34)	(3.710469595e-07,-1.225108111e-06)	(-7.0248698e-34,-7.01685718e-34)
	(3.736564246e-07,-1.267348323e-06)	(-4.047657559e-12,-3.074695065e-12)	(-6.487406875e-34,-6.767254865e-34)	(3.778867427e-07,-1.279923096e-06)	(2.058494335e-08,8.663249022e-09)
	(3.736351126e-07,-1.267904466e-06)	(-7.808116411e-34,-7.284914354e-34)	(3.710701342e-07,-1.25383848e-06)	(2.998123035e-08,1.238641524e-08)	(3.701521478e-07,-1.231166598e-06)
	(-7.927337883e-34,-7.442568192e-34)	(3.700553687e-07,-1.239826233e-06)	(9.074173362e-11,3.972930513e-11)	(3.147078271e-08,1.317748413e-08)	(3.697534787e-07,-1.243420188e-06)
	(2.097053844e-08,8.79679298e-09)	(3.709139011e-07,-1.254408174e-06)	(3.073017155e-08,1.026876685e-08)	(4.207898052e-07,-1.139272006e-06)	(6.707621997e-08,2.213462192e-08)
	(4.210158452e-07,-1.137864673e-06)	(-9.37591359e-34,-7.743663107e-34)	(3.741043569e-07,-1.21016172e-06)	(-6.158992583e-11,1.086599691e-11)	(3.349257165e-08,1.328107822e-08)
	(3.76276267e-07,-1.201819751e-06)	(3.06482136e-08,1.24587607e-08)	(3.72295887e-07,-1.216261899e-06)	(-1.085534719e-33,-7.410393357e-34)	(3.793836137e-07,-1.194671587e-06)
	(3.573456007e-08,1.26095362e-08)	(4.09580269e-07,-1.149358631e-06)	(3.640748209e-08,1.358995602e-08)	(3.89802397e-07,-1.173893952e-06)	(-1.089722807e-33,-7.714637045e-34)
	(3.868525771e-07,-1.179431964e-06)	(3.902094017e-11,-2.623130121e-11)	(3.718733819e-08,1.332905826e-08)	(4.00542739e-07,-1.159195558e-06)	(-1.246107955e-33,-6.871770951e-34)
	(3.968444796e-07,-1.164621727e-06)	(-1.239991491e-33,-7.393591128e-34)	(4.089678565e-07,-1.150493484e-06)	(1.786326879e-11,2.159951588e-11)	(3.423213276e-08,1.320147579e-08)
	(3.82742908e-07,-1.186399175e-06)	(-5.45959518e-34,-6.064326155e-34)	(3.9085229e-07,-1.302095701e-06)	(1.793422012e-08,6.998088248e-09)	(4.044130533e-07,-1.316613119e-06)
	(1.721538816e-08,6.910849313e-09)	(3.956788504e-07,-1.308120228e-06)	(-4.831068755e-34,-5.307327696e-34)	(3.991122001e-07,-1.311552362e-06)	(2.250420369e-11,4.239814746e-11)
	(-4.518419452e-34,-5.120691054e-34)	(4.082560906e-07,-1.319537004e-06)	(1.753858358e-08,7.203993262e-09)	(3.878076514e-07,-1.298276148e-06)	(-5.695271619e-34,-6.195519318e-34)
	(3.837732e-07,-1.291597744e-06)	(-8.148710109e-11,-5.215133245e-11)	(2.008696618e-08,8.428616075e-09)	(3.779716927e-07,-1.280441396e-06)	(2.926604329e-08,1.217385284e-08)
