49765	
	(-6.65193038e-34,-6.153885452e-34)	(8.131337239e-07,-1.447538326e-07)	(1.174725027e-34,-5.403521714e-34)	(8.546614176e-07,-3.359033376e-07)	(-1.076873749e-34,-8.172715498e-35)
	(9.401663046e-07,-3.116566022e-07)	(-2.001448753e-34,-3.868496277e-35)	(9.496250567e-07,-2.913983047e-07)	(9.069879491e-09,1.004813923e-08)	(9.464949047e-07,-3.002225384e-07)
	(6.881778068e-09,7.914011961e-09)	(9.425552411e-07,-3.079429636e-07)	(-1.953630012e-34,-6.826526e-35)	(9.454874188e-07,-3.01954809e-07)	(6.199094379e-11,2.160171042e-11)
	(1.228205862e-34,-4.323137731e-34)	(8.723735563e-07,-3.422910751e-07)	(4.861153901e-09,1.391846547e-08)	(8.704837137e-07,-3.421160753e-07)	(4.083216405e-09,1.304840674e-08)
	(8.611303696e-07,-3.391270936e-07)	(1.158553524e-34,-4.579973397e-34)	(8.632637673e-07,-3.397776494e-07)	(-8.990634938e-13,8.141873131e-11)	(5.654080621e-35,-2.284157078e-34)
	(9.094074686e-07,-3.382940109e-07)	(9.729909902e-35,-3.56937225e-34)	(8.816572063e-07,-3.434527718e-07)	(-5.409538757e-12,3.281756263e-11)	(5.327197645e-09,9.552469124e-09)
	(9.068790938e-07,-3.394930172e-07)	(5.264341229e-09,1.341636792e-08)	(8.797923444e-07,-3.435641956e-07)	(4.963426565e-09,9.854008451e-09)	(8.986533844e-07,-3.420261471e-07)
	(1.006272424e-34,-3.24593733e-34)	(8.910729235e-07,-3.431478144e-07)	(4.524730215e-09,1.0179773e-08)	(8.893165932e-07,-3.434815707e-07)	(5.385360045e-35,-2.619059321e-34)
	(9.003413303e-07,-3.414490745e-07)	(-1.076473579e-11,2.635167312e-11)	(-2.763623329e-34,-9.317621395e-34)	(8.189540662e-07,-2.319158778e-07)	(-1.412152959e-34,-8.944914304e-34)
	(8.147044034e-07,-2.601223982e-07)	(-1.943637299e-34,-9.185865842e-34)	(8.158023303e-07,-2.463577108e-07)	(-2.390867678e-11,-9.622935322e-12)	(5.080195879e-09,1.788029496e-08)
	(8.157799179e-07,-2.454848917e-07)	(1.129729376e-34,-5.671966782e-34)	(8.465070422e-07,-3.307393042e-07)	(4.072648334e-11,4.371075407e-11)	(3.840036546e-09,1.360873606e-08)
	(8.526005849e-07,-3.349371662e-07)	(2.832564028e-09,1.095686383e-08)	(8.44352344e-07,-3.291820043e-07)	(8.344804929e-35,-6.428850149e-34)	(8.389333989e-07,-3.241790553e-07)
	(6.927600223e-09,2.453362607e-08)	(8.504176021e-07,-3.340807273e-07)	(-4.925680548e-34,-6.720095505e-35)	(9.449888889e-07,-2.221079135e-07)	(-6.246293055e-34,-1.969346913e-34)
	(9.26322381e-07,-1.917488648e-07)	(3.743950371e-12,7.399969494e-12)	(-6.510599317e-34,-2.231618314e-34)	(9.183372539e-07,-1.829196945e-07)	(1.034558954e-08,1.132976221e-08)
	(9.260646354e-07,-1.912426642e-07)	(-5.868036922e-34,-1.47206822e-34)	(9.33460882e-07,-2.014235447e-07)	(1.385857863e-08,1.418895292e-08)	(9.430716583e-07,-2.174904258e-07)
	(-5.954407789e-34,-1.793144792e-34)	(9.397877037e-07,-2.11359652e-07)	(-9.228408961e-11,-1.502053333e-10)	(1.517924907e-08,1.588122233e-08)	(9.384522278e-07,-2.084858766e-07)
	(1.032763799e-08,1.099462564e-08)	(9.333155966e-07,-2.008203252e-07)	(9.716811209e-09,1.023218288e-08)	(9.502953892e-07,-2.895587614e-07)	(2.062517702e-08,2.260116498e-08)
	(9.509253641e-07,-2.900185963e-07)	(-5.185213259e-34,-1.187408628e-34)	(9.489432039e-07,-2.333071835e-07)	(7.579647114e-11,7.230094562e-11)	(1.409481635e-08,1.406376435e-08)
	(9.50895464e-07,-2.392717189e-07)	(1.353474886e-08,1.359891152e-08)	(9.476421568e-07,-2.284537936e-07)	(-4.074767767e-34,-4.016103242e-35)	(9.518271342e-07,-2.450341802e-07)
	(1.214689444e-08,1.2397793e-08)	(9.524102772e-07,-2.808543674e-07)	(1.370290907e-08,1.371126165e-08)	(9.538801915e-07,-2.608616745e-07)	(-4.278117558e-34,-8.108378532e-35)
	(9.533948437e-07,-2.567933603e-07)	(-3.665597029e-11,-2.252401549e-11)	(1.306072302e-08,1.326043046e-08)	(9.535469383e-07,-2.726681844e-07)	(-2.96344031e-34,-2.184265261e-35)
	(9.534392691e-07,-2.686779618e-07)	(-3.310991661e-34,-6.774339314e-35)	(9.522212201e-07,-2.802176686e-07)	(-1.490362664e-12,-1.528931112e-11)	(1.360980841e-08,1.351983735e-08)
	(9.530938204e-07,-2.51077863e-07)	(-6.825634781e-34,-2.878328269e-34)	(8.999818294e-07,-1.679091229e-07)	(9.746393283e-09,1.279939643e-08)	(8.8380905e-07,-1.582461699e-07)
	(9.297915051e-09,1.170278968e-08)	(8.938953033e-07,-1.637969411e-07)	(-7.073243975e-34,-3.830709926e-34)	(8.899991857e-07,-1.615648714e-07)	(-2.807230231e-11,-8.54948133e-11)
	(-7.080806081e-34,-3.785402545e-34)	(8.797354942e-07,-1.564179702e-07)	(9.372685017e-09,1.129507246e-08)	(9.037353612e-07,-1.703326255e-07)	(-6.826055217e-34,-3.051761585e-34)
	(9.094129705e-07,-1.749921718e-07)	(9.19138559e-11,1.600413247e-10)	(1.051261677e-08,1.192651087e-08)	(9.179970268e-07,-1.825017558e-07)	(1.550813077e-08,1.82380215e-08)
	(9.106964823e-07,-1.756845903e-07)	(-7.13286478e-34,-4.690943591e-34)	(8.691075407e-07,-1.521110708e-07)	(-9.513683922e-12,-3.860417059e-11)	(9.579692702e-09,1.316855582e-08)
	(8.733043801e-07,-1.535927074e-07)	(-7.10896436e-34,-4.561096084e-34)	(8.58240726e-07,-1.48744519e-07)	(1.026211049e-08,1.473244873e-08)	(8.627789092e-07,-1.499236628e-07)
	(-6.284532352e-34,-6.937906109e-34)	(8.020529451e-07,-1.461376556e-07)	(9.860766936e-12,-4.857009317e-11)	(7.650048762e-09,1.416995548e-08)	(8.068082458e-07,-1.453651721e-07)
	(-6.176454565e-34,-6.850644426e-34)	(7.908631608e-07,-1.485938909e-07)	(7.181083335e-09,1.408893338e-08)	(7.951294682e-07,-1.474811244e-07)	(1.000993537e-08,1.511345068e-08)
	(8.51787639e-07,-1.471305747e-07)	(-7.011903546e-34,-5.590582343e-34)	(8.472000036e-07,-1.463038135e-07)	(1.206199391e-12,-9.30800313e-11)	(-6.716292599e-34,-6.33905096e-34)
	(8.244618358e-07,-1.442889431e-07)	(-2.30871509e-12,4.268486948e-11)	(-6.970981719e-34,-5.345804736e-34)	(8.358141785e-07,-1.448208994e-07)	(1.184344809e-08,1.866229635e-08)
	(8.411886781e-07,-1.452754857e-07)	(1.145711614e-08,1.899141947e-08)	(8.297836244e-07,-1.442582549e-07)	(7.980660295e-09,1.40220069e-08)	(8.180140714e-07,-1.443303558e-07)
	(1.917606434e-08,3.272197202e-08)	(8.230382445e-07,-1.439115684e-07)	(1.470140562e-08,2.804052711e-08)	(7.995672081e-07,-1.463529725e-07)	(1.550675858e-08,2.795210627e-08)
	(8.114182547e-07,-1.446284008e-07)	(-9.702787906e-09,-1.223354101e-07)	(2.367647611e-08,4.167707145e-08)	(8.149000603e-07,-1.440110623e-07)	(2.20925408e-08,4.075583832e-08)
	(8.045843982e-07,-1.451756417e-07)	(-9.230591043e-34,-4.793356596e-34)	(9.870808277e-07,-1.203773451e-07)	(-5.550394587e-34,-9.080787234e-34)	(8.508784817e-07,-1.750956509e-07)
	(7.60152786e-09,1.938183801e-08)	(8.445665777e-07,-1.821114184e-07)	(-4.266951107e-34,-9.704319552e-34)	(8.398143901e-07,-1.886186782e-07)	(-4.641142982e-11,2.238729483e-11)
	(6.46858393e-09,1.770828892e-08)	(8.362348147e-07,-1.935244405e-07)	(-4.271250965e-34,-9.339385184e-34)	(8.306884873e-07,-2.027201154e-07)	(-2.77697617e-34,-9.689395155e-34)
	(8.236936058e-07,-2.172895837e-07)	(2.204827359e-10,-7.902087905e-11)	(5.407390425e-09,1.837196933e-08)	(8.189440418e-07,-2.309495492e-07)	(1.3800414e-08,4.329430722e-08)
	(8.184643488e-07,-2.29467458e-07)	(8.280663847e-09,2.586602654e-08)	(8.242002936e-07,-2.154812932e-07)	(5.889392393e-09,1.746547798e-08)	(8.279699984e-07,-2.078990666e-07)
	(9.251064674e-09,1.466106311e-08)	(9.29390989e-07,-1.273905806e-07)	(-8.623496542e-34,-6.479418248e-34)	(9.486361662e-07,-1.233447621e-07)	(-8.188463129e-34,-7.179980156e-34)
	(9.299192922e-07,-1.274552808e-07)	(-6.01508729e-11,1.119953474e-10)	(-7.880425963e-34,-7.58190198e-34)	(9.115691767e-07,-1.333879975e-07)	(8.650207467e-09,1.520250178e-08)
	(9.111866393e-07,-1.336348552e-07)	(1.097996552e-08,3.646572417e-08)	(8.53648207e-07,-3.367384836e-07)	(9.320649068e-09,2.702033554e-08)	(8.686155162e-07,-3.422917974e-07)
	(1.30956194e-08,3.964782893e-08)	(8.631187257e-07,-3.413603386e-07)	(8.27990569e-09,2.663170433e-08)	(8.592071262e-07,-3.38907343e-07)	(-3.15549444e-08,-1.919645838e-07)
	(5.845462667e-09,9.327039214e-09)	(9.156221923e-07,-3.353629343e-07)	(-9.606687732e-35,-1.111579957e-34)	(9.336932907e-07,-3.203322392e-07)	(5.830187555e-11,-1.080759585e-11)
	(6.380231216e-09,7.871555209e-09)	(9.365732615e-07,-3.170575974e-07)	(8.842817691e-09,1.186189234e-08)	(9.308651976e-07,-3.237987154e-07)	(-1.252365738e-35,-1.441306643e-34)
	(9.262665395e-07,-3.276969291e-07)	(-1.359871163e-35,-1.782268165e-34)	(9.18011335e-07,-3.338018283e-07)	(-8.035319278e-11,3.702033229e-11)	(8.128496294e-09,1.198926162e-08)
	(9.230126889e-07,-3.306576678e-07)	(1.303027786e-08,1.589848043e-08)	(9.395263983e-07,-3.135777886e-07)	(-2.086505469e-08,-1.481522189e-07)	(2.538611598e-08,2.930622604e-08)
	(9.498697698e-07,-2.955284985e-07)	(1.807528773e-08,2.037733091e-08)	(9.47922679e-07,-2.983635282e-07)	(-2.461759011e-08,-1.864721313e-07)	(2.974016471e-08,3.755692504e-08)
	(9.47419565e-07,-3.03670882e-07)	(2.332384054e-08,2.836278077e-08)	(9.45084105e-07,-3.062632822e-07)	(2.053019031e-08,2.607574153e-08)	(9.404042307e-07,-3.136532978e-07)
	(1.515803782e-08,1.995794517e-08)	(9.342853185e-07,-3.207614248e-07)	(1.553608616e-08,1.809706677e-08)	(9.440969286e-07,-3.062744376e-07)	(1.016531869e-08,2.355955977e-08)
	(8.878152603e-07,-3.441706498e-07)	(1.439678154e-08,3.968008931e-08)	(8.727763448e-07,-3.441419337e-07)	(1.053692975e-08,2.741478452e-08)	(8.782778903e-07,-3.441192831e-07)
	(-3.501326997e-08,-2.140580184e-07)	(1.633163088e-08,4.077588982e-08)	(8.830753292e-07,-3.454850989e-07)	(1.446621758e-08,3.395352832e-08)	(8.880755049e-07,-3.448845383e-07)
	(1.050470817e-08,1.94788272e-08)	(9.055679449e-07,-3.404515734e-07)	(1.565592804e-08,2.969725275e-08)	(9.063581373e-07,-3.409712695e-07)	(1.433251549e-08,2.995116243e-08)
	(8.975134142e-07,-3.434367869e-07)	(1.12979331e-08,1.902190024e-08)	(9.136028445e-07,-3.370082078e-07)	(-2.634188444e-08,-1.696899484e-07)	(9.762076389e-09,2.005045081e-08)
	(8.972349919e-07,-3.428018738e-07)	(-2.729463422e-08,-1.699993439e-07)	(1.398458345e-08,2.160347245e-08)	(9.213179102e-07,-3.326373543e-07)	(1.673298568e-08,2.905095436e-08)
	(9.144389237e-07,-3.374129e-07)	(1.725360732e-08,5.352673444e-08)	(8.160269661e-07,-2.373105256e-07)	(-5.522424288e-35,-8.628204762e-34)	(8.155219035e-07,-2.7346883e-07)
	(-2.573111578e-10,4.454293589e-11)	(1.001963273e-08,3.732428879e-08)	(8.140634082e-07,-2.624605608e-07)	(1.566503361e-08,5.160849574e-08)	(8.140027661e-07,-2.498592394e-07)
	(1.033308247e-08,3.568977326e-08)	(8.154017688e-07,-2.449141771e-07)	(-2.386204631e-08,-1.825561562e-07)	(4.686425507e-09,1.953633914e-08)	(8.155323088e-07,-2.760409003e-07)
	(-6.375083701e-35,-8.216657524e-34)	(8.176403596e-07,-2.857105095e-07)	(4.40360339e-09,1.748504041e-08)	(8.146039494e-07,-2.592960479e-07)	(2.111156527e-35,-7.421572687e-34)
	(8.261065415e-07,-3.07320626e-07)	(4.027056059e-35,-7.750015695e-34)	(8.213110554e-07,-2.971020466e-07)	(-1.069747469e-10,-3.540298537e-11)	(4.07118883e-09,1.790537925e-08)
	(8.221816692e-07,-2.998279263e-07)	(4.382586923e-09,1.885078513e-08)	(8.1804076e-07,-2.881645022e-07)	(9.241084581e-35,-6.712108985e-34)	(8.320880684e-07,-3.164143745e-07)
	(-2.310672055e-11,-1.621174426e-11)	(2.779281931e-09,1.1442258e-08)	(8.369200568e-07,-3.223042625e-07)	(9.597145568e-09,3.459260989e-08)	(8.451747505e-07,-3.309465279e-07)
	(5.784308297e-09,2.22652093e-08)	(8.422786981e-07,-3.278516101e-07)	(-2.398754152e-08,-1.479252607e-07)	(7.91052437e-09,3.073492181e-08)	(8.373703059e-07,-3.236736047e-07)
	(4.668580185e-09,1.974775961e-08)	(8.324535433e-07,-3.17338964e-07)	(3.966989389e-09,1.722064176e-08)	(8.273435301e-07,-3.097812853e-07)	(1.516491868e-08,5.273756981e-08)
	(8.134219435e-07,-2.673925925e-07)	(1.202328977e-08,4.343482333e-08)	(8.40024949e-07,-3.272783332e-07)	(1.83935413e-08,5.929808747e-08)	(8.489644485e-07,-3.35902976e-07)
	(1.606899066e-08,5.012000719e-08)	(8.573874738e-07,-3.398315338e-07)	(1.396933781e-08,4.700805624e-08)	(8.482083513e-07,-3.341922329e-07)	(-5.162778526e-08,-3.153133301e-07)
	(1.676487764e-08,5.659517427e-08)	(8.419978431e-07,-3.303456264e-07)	(2.687992421e-08,2.762162207e-08)	(9.50217024e-07,-2.339107787e-07)	(3.561714231e-08,3.782093399e-08)
	(9.488844608e-07,-2.272114243e-07)	(2.662516169e-08,2.759667102e-08)	(9.463574481e-07,-2.231747811e-07)	(-2.020735393e-08,-2.036614839e-07)	(2.804636589e-08,2.956080217e-08)
	(9.421653342e-07,-2.140121202e-07)	(3.69327903e-08,3.972954114e-08)	(9.443414235e-07,-2.16280428e-07)	(2.056927536e-08,2.277663072e-08)	(9.258598101e-07,-1.904243158e-07)
