49765	
	(1.441414555e-34,8.062928831e-34)	(-8.896853411e-07,-8.430920603e-07)	(-1.222821764e-33,7.544935551e-34)	(-1.020190319e-06,-5.100974955e-07)	(-4.373426791e-34,8.418554206e-35)
	(-1.183838774e-06,-6.269548251e-07)	(-4.433072222e-34,3.693934204e-34)	(-1.19415396e-06,-6.738990444e-07)	(7.786510125e-09,-2.01976532e-08)	(-1.189062705e-06,-6.545938587e-07)
	(5.347023072e-09,-1.581586232e-08)	(-1.185583749e-06,-6.373999676e-07)	(1.384936185e-34,1.905784654e-34)	(-1.186872772e-06,-6.515518935e-07)	(-2.332870898e-10,-9.287572026e-10)
	(-5.958770387e-34,5.243395916e-34)	(-1.064768147e-06,-5.159527996e-07)	(1.275959257e-08,-2.260970817e-08)	(-1.05969074e-06,-5.139677196e-07)	(1.506361751e-08,-1.859878421e-08)
	(-1.038863824e-06,-5.0977649e-07)	(-9.8490719e-34,1.37047522e-35)	(-1.041715889e-06,-5.082453017e-07)	(-3.052052204e-09,-1.128004738e-09)	(-8.805413621e-34,3.944788188e-34)
	(-1.140952245e-06,-5.562910243e-07)	(-8.79826253e-34,1.755856228e-34)	(-1.083902265e-06,-5.213470403e-07)	(2.080425448e-09,2.481544871e-09)	(8.660923779e-09,-1.784123653e-08)
	(-1.134391108e-06,-5.532609493e-07)	(1.27771793e-08,-2.232564001e-08)	(-1.079453678e-06,-5.201755127e-07)	(9.412455024e-09,-1.845287086e-08)	(-1.116479671e-06,-5.386800637e-07)
	(-9.348719721e-34,2.301676114e-34)	(-1.10454632e-06,-5.304982652e-07)	(1.026686063e-08,-1.689287007e-08)	(-1.101225057e-06,-5.272824151e-07)	(-1.030333598e-33,2.233277472e-34)
	(-1.119182379e-06,-5.422291232e-07)	(3.68140938e-10,1.985662784e-09)	(-9.034598538e-34,1.274653043e-33)	(-8.172572156e-07,-6.593684726e-07)	(-1.030936755e-33,9.42407752e-34)
	(-8.45469582e-07,-6.05064204e-07)	(-6.8252225e-34,1.368006988e-33)	(-8.317789736e-07,-6.320185379e-07)	(2.373540716e-09,1.046460742e-09)	(1.634288383e-08,-2.338867898e-08)
	(-8.303862289e-07,-6.330761756e-07)	(-1.096305178e-33,5.615067563e-34)	(-1.001132504e-06,-5.139326686e-07)	(4.581520527e-09,6.347056682e-10)	(1.467227742e-08,-1.883807045e-08)
	(-1.014979714e-06,-5.105153506e-07)	(1.011629131e-08,-1.529365532e-08)	(-9.931077744e-07,-5.142900157e-07)	(-1.205943827e-33,1.092067729e-33)	(-9.738150266e-07,-5.190701174e-07)
	(2.479299642e-08,-3.554228113e-08)	(-1.008296915e-06,-5.112432865e-07)	(1.896214228e-34,1.026550388e-34)	(-1.148279157e-06,-7.905079291e-07)	(-4.794801711e-35,3.711157048e-34)
	(-1.100055662e-06,-8.33864681e-07)	(-4.856983797e-10,2.50028469e-11)	(6.755097779e-34,6.948397303e-34)	(-1.081166597e-06,-8.434725187e-07)	(7.354297101e-09,-1.81017507e-08)
	(-1.099885559e-06,-8.339107013e-07)	(-2.001878083e-34,3.846489432e-34)	(-1.114941581e-06,-8.212116e-07)	(8.806659144e-09,-2.467292857e-08)	(-1.140300591e-06,-7.963249976e-07)
	(3.907036605e-34,1.08826444e-33)	(-1.131656872e-06,-8.081996619e-07)	(-6.898527978e-11,2.624095821e-09)	(8.051823899e-09,-2.956987728e-08)	(-1.126967373e-06,-8.130209984e-07)
	(7.688811505e-09,-1.930419978e-08)	(-1.115089004e-06,-8.227338127e-07)	(6.839877484e-09,-2.071115865e-08)	(-1.19407224e-06,-6.764705016e-07)	(1.812544837e-08,-4.371417775e-08)
	(-1.192724229e-06,-6.765738755e-07)	(4.962072989e-34,7.445706432e-34)	(-1.159757202e-06,-7.764790987e-07)	(5.069963772e-10,-1.125411196e-09)	(7.909290718e-09,-2.524430737e-08)
	(-1.167935648e-06,-7.655274465e-07)	(6.561357292e-09,-2.284332524e-08)	(-1.154414938e-06,-7.818742773e-07)	(-2.526212537e-34,1.241740234e-34)	(-1.171522306e-06,-7.555148512e-07)
	(7.964767624e-09,-2.451194639e-08)	(-1.193222693e-06,-6.934156713e-07)	(1.022530871e-08,-2.627447728e-08)	(-1.183341139e-06,-7.283411833e-07)	(1.342472703e-34,6.671469894e-34)
	(-1.17856577e-06,-7.364813614e-07)	(-2.362045737e-09,4.777606351e-10)	(9.841576355e-09,-2.571242114e-08)	(-1.190173843e-06,-7.087894952e-07)	(-2.335753462e-34,4.337996079e-34)
	(-1.187972298e-06,-7.147202903e-07)	(1.575909404e-35,6.65761189e-34)	(-1.193571621e-06,-6.947667674e-07)	(2.380802361e-09,3.049644944e-09)	(8.359274269e-09,-2.627246539e-08)
	(-1.175679708e-06,-7.447974609e-07)	(4.066645044e-34,2.121183608e-34)	(-1.043695375e-06,-8.566730577e-07)	(5.414588747e-09,-2.005266431e-08)	(-1.012633193e-06,-8.612104667e-07)
	(3.471356414e-09,-1.823820366e-08)	(-1.032568676e-06,-8.597115361e-07)	(4.230679409e-34,1.219389881e-33)	(-1.026703594e-06,-8.603039439e-07)	(3.137804779e-09,2.824119857e-09)
	(5.292457998e-34,5.032764717e-34)	(-1.004474215e-06,-8.638409227e-07)	(3.606809616e-09,-1.683366627e-08)	(-1.051941681e-06,-8.557910888e-07)	(3.192951813e-34,2.528938844e-34)
	(-1.062862308e-06,-8.502575656e-07)	(-6.367312839e-09,-2.164134066e-09)	(4.38881667e-09,-1.96260232e-08)	(-1.081201968e-06,-8.436844972e-07)	(7.62391672e-09,-2.835973032e-08)
	(-1.065849725e-06,-8.49899023e-07)	(1.07409027e-34,8.419737249e-34)	(-9.82956735e-07,-8.630397619e-07)	(-6.74056928e-10,-1.276621576e-09)	(5.559551998e-09,-1.74188577e-08)
	(-9.908287114e-07,-8.642806208e-07)	(1.786739098e-34,6.098029681e-34)	(-9.653800729e-07,-8.63013859e-07)	(6.319601165e-09,-2.073374492e-08)	(-9.724535943e-07,-8.636646831e-07)
	(1.176106927e-35,1.449593271e-33)	(-8.747621481e-07,-8.297483194e-07)	(-1.581339147e-09,-2.312666063e-09)	(6.522459282e-09,-1.682062604e-08)	(-8.807085075e-07,-8.357607451e-07)
	(4.387976189e-34,1.072889851e-33)	(-8.570943955e-07,-8.217252966e-07)	(5.224968933e-09,-1.860583101e-08)	(-8.648332783e-07,-8.264405931e-07)	(8.025573806e-09,-2.098787712e-08)
	(-9.545376404e-07,-8.619369442e-07)	(3.204864452e-35,9.890027379e-34)	(-9.448843609e-07,-8.619588062e-07)	(1.046287048e-09,2.704785742e-09)	(7.004053873e-34,8.684734251e-34)
	(-9.096145307e-07,-8.501084117e-07)	(9.64358403e-10,2.363100311e-09)	(4.010725731e-34,8.299960923e-34)	(-9.279104375e-07,-8.549966478e-07)	(8.366079454e-09,-2.454554322e-08)
	(-9.369281375e-07,-8.587008444e-07)	(6.320281613e-09,-2.601387158e-08)	(-9.181019629e-07,-8.519134801e-07)	(5.957371187e-09,-1.713386797e-08)	(-8.979922509e-07,-8.461094537e-07)
	(1.292324749e-08,-4.487985705e-08)	(-9.073889318e-07,-8.500269234e-07)	(1.048246059e-08,-3.80211437e-08)	(-8.723894931e-07,-8.302902457e-07)	(1.116694174e-08,-3.74224034e-08)
	(-8.875699945e-07,-8.402115001e-07)	(-1.177397951e-07,9.478348833e-08)	(1.570380319e-08,-5.594669555e-08)	(-8.937947966e-07,-8.449057208e-07)	(1.418771358e-08,-5.453750015e-08)
	(-8.791756191e-07,-8.345872778e-07)	(8.178442949e-34,9.802367315e-34)	(-9.272047629e-07,-1.054668859e-06)	(-4.334328999e-34,1.8227867e-33)	(-7.945046295e-07,-7.951158117e-07)
	(1.540011001e-08,-2.788788764e-08)	(-7.930646638e-07,-7.763744037e-07)	(-6.848000915e-34,1.524930225e-33)	(-7.914584334e-07,-7.582805138e-07)	(-3.781856262e-09,3.398659389e-11)
	(1.333522222e-08,-2.679164876e-08)	(-7.942614698e-07,-7.467722762e-07)	(-5.669412291e-34,2.196927492e-33)	(-7.969570112e-07,-7.243407075e-07)	(-3.720348154e-34,1.682852141e-33)
	(-8.022785502e-07,-6.908985581e-07)	(3.170907294e-09,-4.941254844e-10)	(1.425279232e-08,-2.619892877e-08)	(-8.148794821e-07,-6.598981358e-07)	(3.383924316e-08,-6.061762727e-08)
	(-8.117095876e-07,-6.651958807e-07)	(2.052084382e-08,-3.502580234e-08)	(-8.022222005e-07,-6.943946316e-07)	(1.300596168e-08,-2.434339289e-08)	(-7.989865311e-07,-7.122440625e-07)
	(8.409125599e-09,-2.195670076e-08)	(-8.517171363e-07,-9.713891168e-07)	(1.166738978e-34,1.591055617e-33)	(-8.755683501e-07,-9.977221123e-07)	(7.695234104e-35,1.70993462e-33)
	(-8.524708369e-07,-9.723583255e-07)	(1.900804069e-09,5.168609065e-10)	(6.213757556e-35,1.730913275e-33)	(-8.326778791e-07,-9.367195037e-07)	(7.632557133e-09,-2.352530105e-08)
	(-8.339480199e-07,-9.362059517e-07)	(3.646781961e-08,-5.554112981e-08)	(-1.017959787e-06,-5.104106753e-07)	(2.870596172e-08,-4.201490526e-08)	(-1.056015612e-06,-5.128916806e-07)
	(3.956839536e-08,-6.269696911e-08)	(-1.041879457e-06,-5.086197605e-07)	(2.518933212e-08,-3.915338599e-08)	(-1.03324796e-06,-5.114660356e-07)	(-1.487566535e-07,1.717745863e-07)
	(8.594876472e-09,-1.651531946e-08)	(-1.153912255e-06,-5.642648665e-07)	(-7.423518904e-34,3.535591443e-34)	(-1.176455037e-06,-6.088383128e-07)	(-4.442991417e-10,-2.90880066e-09)
	(7.203877198e-09,-1.573144969e-08)	(-1.180005075e-06,-6.167684203e-07)	(1.167084484e-08,-2.108927317e-08)	(-1.17240402e-06,-5.999227964e-07)	(-7.576730721e-34,-5.066991624e-35)
	(-1.167469813e-06,-5.883053525e-07)	(5.234595813e-35,2.283478328e-34)	(-1.158219267e-06,-5.689427752e-07)	(1.091320693e-09,2.42516246e-09)	(9.920510756e-09,-2.169492605e-08)
	(-1.163596775e-06,-5.788533342e-07)	(1.461251563e-08,-3.116768564e-08)	(-1.182435878e-06,-6.238923892e-07)	(-1.148712534e-07,1.368829721e-07)	(2.492135613e-08,-5.476012362e-08)
