22269	
	(2.550958845e-35,1.353010408e-35)	(-2.096830664e-34,-1.826138191e-34)	(1.43900457e-35,7.945917587e-36)	(-1.033365511e-34,-8.88128005e-35)	(-0.01953342844,-0.01655191964)
	(0.0008868944093,0.0009693253876)	(0.000280192072,0.0002957273003)	(0.0006928907224,0.0007869418882)	(0.0001989306968,0.0002188754428)	(0.0008880220217,0.0009458303125)
	(0.0002916669374,0.000300673535)	(3.630167313e-35,2.287408378e-35)	(-2.022440676e-34,-1.712290986e-34)	(5.135322511e-36,-7.427295773e-36)	(-2.056917892e-34,-2.04502099e-34)
	(3.523993008e-35,2.195724128e-35)	(-2.02638023e-34,-1.669952408e-34)	(0.000564990091,0.0005953541632)	(0.000190443246,0.0001967534335)	(1.803469798e-35,1.135989371e-35)
	(-1.012319972e-34,-8.45407171e-35)	(-0.01944031105,-0.0160147369)	(0.00113661408,0.001165334622)	(0.0003966172746,0.0003907679521)	(-0.01938180846,-0.01581515308)
	(0.001547976877,0.001547720031)	(0.0005614239388,0.0005324786306)	(0.001444905975,0.001496419816)	(0.0004900817996,0.0004814542581)	(0.0005830275689,0.0005984918089)
	(0.0002059509721,0.000207222582)	(1.289639969e-35,6.93514056e-36)	(-1.028383514e-34,-9.077595801e-35)	(-0.0196287039,-0.01711323976)	(0.0007539392346,0.0009062935362)
	(0.0001928892319,0.0002230183917)	(2.555572762e-35,1.364534063e-35)	(-2.017374182e-34,-1.804294711e-34)	(0.0006695057531,0.0007822245368)	(0.000181684448,0.0002056109953)
	(1.451984658e-35,3.342598044e-36)	(-2.067949865e-34,-1.900693172e-34)	(0.0007541390808,0.0009309533104)	(0.0001822167705,0.0002154613536)	(0.0007630890484,0.0009728260652)
	(0.000165771984,0.000200875474)	(9.032149189e-36,3.054696484e-36)	(-1.023930647e-34,-9.291854829e-35)	(-0.01968489008,-0.01765138488)	(2.320794884e-36,-3.745426828e-36)
	(-1.033473369e-34,-1.014611892e-34)	(-0.01963477072,-0.01913553786)	(3.916679753e-36,-2.35444372e-36)	(-1.039487965e-34,-9.94620382e-35)	(-0.01967549198,-0.01864527274)
	(0.0007373582618,0.0009680179815)	(0.0001516903176,0.0001887839424)	(4.042567087e-36,-7.742678435e-36)	(-2.074102868e-34,-2.010515634e-34)	(1.565764053e-35,3.846939842e-36)
	(-2.074126161e-34,-1.956787708e-34)	(7.577371679e-36,1.825738392e-36)	(-1.035044404e-34,-9.636547722e-35)	(-0.01967214969,-0.01812380538)	(0.0006669398878,0.0009676138528)
	(0.0001002481192,0.0001350342595)	(0.0007029001466,0.0009878727991)	(0.0001185061742,0.0001560063261)	(0.0007017818096,0.0009577237469)	(0.0001313393519,0.0001693122835)
	(0.000651479614,0.0009871026552)	(8.566690712e-05,0.0001187285649)	(0.001538186457,0.001670782353)	(0.0004782047537,0.0004877000577)	(0.001412525932,0.001638198606)
	(0.0003818156018,0.0004132065443)	(0.001351586783,0.001524474603)	(0.0003872486469,0.0004107651455)	(-0.01955678759,-0.01685534746)	(0.001929930972,0.002114708337)
	(0.0005785939545,0.0005829801836)	(0.002033555932,0.002279955973)	(0.0005781679247,0.0005893819926)	(0.002130047137,0.002248927588)	(0.0006869839663,0.0006663371677)
	(0.001843577602,0.001861855819)	(0.0006495818835,0.0006144567055)	(0.002417358387,0.002433497578)	(0.0008447793839,0.0007787723284)	(0.001753974402,0.001834363551)
	(0.0005820165396,0.0005695628302)	(-0.01938031917,-0.01613753345)	(0.0025786475,0.002638290049)	(0.00087052487,0.0008072947979)	(-1.207985196e-36,-8.227339521e-36)
	(-1.034032851e-34,-1.042279819e-34)	(-0.01954014268,-0.01957427425)	(0.000639663715,0.001000536733)	(7.683770319e-05,0.0001085697763)	(0.0008513644427,0.001369936222)
	(8.629420198e-05,0.0001162806628)	(-6.347478929e-36,-1.994349549e-35)	(-2.074893361e-34,-2.118722628e-34)	(0.001481651768,0.002264138456)	(0.0001836998747,0.0002202422067)
	(0.00133013181,0.00189756261)	(0.0002081034062,0.0002560142065)	(0.001931113077,0.002748044272)	(0.000298846881,0.0003385507982)	(0.001912983748,0.002801560872)
	(0.0002703114992,0.0003045746523)	(0.001296370062,0.001928889855)	(0.0001784287955,0.0002227496957)	(-0.01950398194,-0.01925947808)	(-2.824243816e-36,-9.798691859e-36)
