132921	
	(-1.985936128e-17,2.888579148e-19)	(0.4773473525,0.7163863955)	(-1.995271203e-17,-3.493068757e-19)	(0.4528024837,0.7321084991)	(0.001331510674,0.0006762113926)
	(2.004606277e-17,9.874716662e-19)	(0.4276492842,0.7468916846)	(-0.03716046725,-0.001225058334)	(0.4426468801,0.7380637459)	(-0.03775641978,-0.0002091390918)
	(0.4640015272,0.7249212607)	(1.940664478e-32,9.75937888e-33)	(0.4018877539,0.7607359522)	(0.001226844813,0.0006509851797)	(-0.03711890416,-0.003524150672)
	(0.3921298118,0.7654862492)	(-0.03733437297,-0.002413913466)	(0.4172359396,0.7524671487)	(2.023276425e-17,2.263801247e-18)	(0.375517893,0.7736413017)
	(5.151541805e-18,1.204115102e-18)	(0.2639551418,0.8158735202)	(1.185070516e-32,1.33910956e-32)	(0.1461193157,0.8426465597)	(1.16172378e-32,1.220557723e-32)
	(0.1754052502,0.8375179121)	(0.000784131987,0.0007811599892)	(-0.03246534713,-0.01351749001)	(0.1630543663,0.8395827367)	(-0.03635347132,-0.01168059655)
	(0.2200397703,0.8275716244)	(1.681835835e-17,4.431882975e-18)	(0.2345436272,0.8240842798)	(0.0009128472285,0.000575306541)	(1.129456904e-32,1.088002749e-32)
	(0.205116211,0.8312631321)	(-0.03674225548,-0.009333580662)	(0.2503812073,0.8196503738)	(-0.0348207048,-0.0133648677)	(0.1905515397,0.8341956508)
	(-1.01630575e-17,-1.450983019e-18)	(0.3485397013,0.7856077333)	(0.001122178951,0.0006257589668)	(-0.04413103773,-0.006900398918)	(0.3391906377,0.7891877309)
	(2.041946574e-17,3.540130828e-18)	(0.3209531788,0.7966352469)	(-1.025640824e-17,-2.089147809e-18)	(0.2927583257,0.8067238425)	(0.00101751309,0.0006005327539)
	(-0.03729102843,-0.004700827448)	(0.3655234044,0.7780443437)	(-0.0443339047,-0.008287239086)	(0.3113857445,0.7998992285)	(-0.03673606663,-0.008092710481)
	(0.279508917,0.8109182584)	(2.061034319e-32,6.420938974e-33)	(0.5694435205,0.6441088016)	(-0.03757900363,0.001003714057)	(0.4882814497,0.7087718431)
	(3.93453196e-17,-3.130374992e-18)	(0.5246120979,0.6821254345)	(-0.03494588289,0.003714681596)	(0.5446151947,0.6657617317)	(-0.03701408569,0.004889072292)
	(0.5619580672,0.650722784)	(3.915861812e-17,-4.406704573e-18)	(0.5473319746,0.663586577)	(0.001540842397,0.0007266638184)	(2.105801592e-32,8.203472152e-33)
	(0.5012838906,0.699725374)	(0.001436176535,0.0007014376055)	(-0.04196575332,0.002174454289)	(0.506812563,0.695428826)	(-0.03511275528,0.002573907793)
	(0.521810545,0.6841870419)	(-0.03683665335,0.006102036072)	(0.5836811002,0.630626976)	(-0.03445010085,0.006847414453)	(0.6042420627,0.6101990078)
	(2.013993779e-32,5.709503508e-33)	(0.5909467356,0.6236921081)	(0.001645508258,0.0007518900313)	(1.950894182e-32,4.939439173e-33)	(0.6118416201,0.6023364967)
	(-0.07107452585,0.01314320717)	(0.5969630519,0.6165710092)	(-0.07942370542,0.002505793474)	(0.4937069763,0.7036828317)	(-0.07518410975,0.0004911820178)
	(0.4749275191,0.7167248821)	(0.01036828347,-0.00924198225)	(-0.07474557145,-0.001574382755)	(0.4538036375,0.7302508071)	(-0.1118821235,0.002781284398)
	(0.4901048046,0.7044053375)	(-0.1129139211,-0.0002150977214)	(0.4701616399,0.7178243079)	(-0.08116663331,-0.01133912316)	(0.3561329001,0.7809197355)
	(-0.1085154788,-0.006453828943)	(0.425000956,0.7454321523)	(-0.1126317874,-0.003323198491)	(0.44893617,0.731220688)	(-0.1145883048,-0.01343769693)
	(0.3773383279,0.769553266)	(-0.1086266052,-0.009771416329)	(0.4000666449,0.758760767)	(-0.07425605158,-0.005862009869)	(0.4074643921,0.7566495136)
	(-0.07430093251,-0.003598766136)	(0.4322305931,0.7430826302)	(0.01010044953,-0.009067194108)	(-0.07420771433,-0.008101760312)	(0.3821314952,0.7693413253)
	(0.009909149044,-0.008991841732)	(-0.03130517437,-0.01533930361)	(0.10452575,0.8479386868)	(-0.03186819853,-0.01441691324)	(0.1338008561,0.8442823641)
	(1.199859064e-32,1.445032636e-32)	(0.1169638426,0.84671624)	(0.0006460072878,0.001077424678)	(1.206089423e-32,1.538326952e-32)	(0.087938831,0.849726953)
	(-0.06295988499,-0.02946740022)	(0.1218166307,0.8450937401)	(1.145428975e-32,1.785216609e-32)	(-0.02685660094,0.851180132)	(-0.03306739602,-0.01865569264)
	(0.05028253908,0.8518500195)	(1.203761594e-32,1.618992507e-32)	(0.05904428083,0.8516786987)	(0.0005078825885,0.001373689368)	(-0.02768301842,-0.01775254282)
	(-0.001802100794,0.8522111628)	(-0.03241210244,-0.01964269363)	(0.0215330912,0.8524419819)	(1.192875576e-32,1.687029301e-32)	(0.03028019212,0.8525714771)
	(1.17343137e-32,1.742437335e-32)	(0.00164656486,0.8524052882)	(0.0003697578892,0.001669954057)	(-0.03070731081,-0.0162398037)	(0.07553381954,0.8505148499)
	(-0.02711439844,-0.01860899633)	(-0.03031157035,0.8508792689)	(-0.08087190119,-0.01646726712)	(0.2981524774,0.8035015381)	(-0.1043414459,-0.0291916011)
	(0.2503765591,0.8175998201)	(-0.1021461844,-0.02451207196)	(0.2776728204,0.809475885)	(-0.07231551841,-0.01798102727)	(0.265823529,0.8143353482)
	(0.0104919812,-0.007307146617)	(-0.07186223749,-0.02132592051)	(0.2359974672,0.8227772846)	(-0.1033718422,-0.03346961388)	(0.2206852072,0.8254032796)
	(-0.06701676153,-0.02665273212)	(0.178680325,0.8357851092)	(-0.06412313824,-0.02764167672)	(0.151189695,0.8408049815)	(0.01386969548,-0.001746693788)
	(-0.08841034081,-0.03960043411)	(0.138213322,0.8417634073)	(-0.1065208147,-0.03903575403)	(0.1929328731,0.8314086593)	(-0.07095597386,-0.02468019312)
	(0.2058317976,0.8301077136)	(0.01344585037,-0.00375073756)	(-0.1021798504,-0.04193314868)	(0.1659267545,0.8366406424)	(-0.1261141033,-0.05386518589)
	(0.1533365538,0.837234951)	(-0.1327061893,-0.02379260751)	(0.327106235,0.7900582083)	(-0.08817997041,-0.01498866833)	(0.3295570488,0.7915962054)
	(0.01136560486,-0.01073684424)	(-0.1217034375,-0.0179888129)	(0.3512014905,0.7808327581)	(-0.1107681289,-0.02187916741)	(0.309578032,0.7980527804)
	(1.833330258e-32,-3.231233276e-33)	(0.7602502901,0.4116314398)	(-3.841181218e-17,9.512022897e-18)	(0.6321281738,0.5800419672)	(0.001750174119,0.0007771162442)
	(-0.03428340535,0.00798697907)	(0.6247639782,0.5882504675)	(-0.03653820181,0.009756236321)	(0.644474198,0.565567561)	(3.822511069e-17,-1.078835248e-17)
	(0.6518063968,0.5568085198)	(-2.984386307e-17,1.514951043e-17)	(0.7266267601,0.4599656067)	(-0.03322778743,0.01770660572)	(0.7391007008,0.4421989775)
	(-0.02910722759,0.01648572944)	(0.7548882971,0.419386238)	(-4.166809504e-17,2.257904751e-17)	(0.7439772327,0.436022487)	(0.002009338913,0.0007238556469)
	(-0.03399620233,0.01696134306)	(0.721392244,0.4659811537)	(-0.03635965631,0.01097680989)	(0.6637865048,0.5417508422)	(-0.03633181087,0.01253586836)
	(0.6834478552,0.5159271891)	(-4.360008515e-17,2.070526801e-17)	(0.7081988722,0.4834607989)	(0.001946171851,0.0007962138077)	(3.785142425e-17,-1.334294953e-17)
	(0.6893654188,0.50748603)	(-0.03606884402,0.01542892563)	(0.7020221169,0.4917409493)	(-3.803840921e-17,1.206468206e-17)	(0.6708762891,0.5326361544)
	(0.001854839981,0.0008023424571)	(-0.0717142681,0.00902499897)	(0.5591471246,0.6522063612)	(-0.1163732901,0.009427457311)	(0.530361085,0.6739109351)
	(-0.1159503033,0.005806938311)	(0.50856962,0.6907933514)	(-0.07362731416,0.01118043843)	(0.5761783462,0.6366373652)	(0.01059969547,-0.009187311467)
	(-0.08362725606,0.004747173734)	(0.512115093,0.6900557775)	(0.01153927987,-0.0104254692)	(-0.06978417348,0.006981367421)	(0.5417471243,0.6672024437)
	(0.009983102035,-0.008615944996)	(-0.139427286,0.02013811065)	(0.5734204788,0.6347976098)	(-0.07668784841,0.006008226122)	(0.5270607143,0.6788363255)
	(-0.1111532824,0.01430330189)	(0.5623475751,0.6471734028)	(-0.1093844722,0.01124285067)	(0.5450234923,0.662338862)	(-0.1020429163,0.01711423778)
	(0.587179882,0.6246076554)	(-0.1553046568,0.02617100976)	(0.5891020378,0.6182396605)	(-0.06854202455,0.01496239014)	(0.6171695401,0.5956122877)
	(0.01015756035,-0.008561838011)	(-0.07062571141,0.01781743236)	(0.6371024988,0.5732206865)	(-0.1057976326,0.02495702097)	(0.6285745407,0.580994977)
	(-0.09936831081,0.0199732399)	(0.6076714588,0.6041025145)	(-0.1640342579,0.03214368594)	(0.6061872321,0.5999697032)	(-0.1302104175,0.02392199269)
	(0.5979280933,0.6118210221)	(0.01770110552,-0.01695815911)	(-0.1364741972,0.02982048913)	(0.6190963542,0.5890158259)	(-0.1493614707,0.002449845394)
	(0.4852573868,0.7047994963)	(-0.1832143239,0.00852858539)	(0.5082577369,0.6847155323)	(-0.1484636845,0.0110335719)	(0.5267665045,0.6741165097)
	(-0.1481891039,0.006428337114)	(0.5048900403,0.6908954567)	(0.01935200947,-0.01907504471)	(-0.1845234756,0.003594615072)	(0.4886983953,0.6987384627)
	(-0.2133171551,0.001723210062)	(0.4811491096,0.7003335688)	(-0.1795427751,-0.003896484706)	(0.4575969947,0.7199860304)	(-0.1505384559,-0.001560558398)
	(0.4652111942,0.7180656039)	(0.01940902097,-0.01925409646)	(-0.1466312472,-0.005951822444)	(0.4416756698,0.7329854953)	(9.478375111e-33,1.830046095e-32)
	(-0.1395646496,0.8356898342)	(1.108868392e-32,1.815367121e-32)	(-0.05522930529,0.8488960085)	(0.00023163319,0.001966218746)	(-0.03266289917,-0.02345140996)
	(-0.04941827945,0.8492848327)	(-0.02906715537,-0.0234595642)	(-0.1005909087,0.8429317263)	(-0.02614587091,-0.02226433651)	(-0.1245972697,0.8387406868)
	(-0.02971069739,-0.02249026337)	(-0.07240282559,0.8468931488)	(1.06374962e-32,1.832888873e-32)	(-0.08347154818,0.8455529177)	(1.01007266e-32,1.837781865e-32)
	(-0.1115833296,0.8411508596)	(9.350849074e-05,0.002262483436)	(8.770441736e-33,1.809681566e-32)	(-0.1674155081,0.8291698415)	(-4.461620852e-05,0.002558748125)
	(-0.02555613939,-0.02315258816)	(-0.152541288,0.8328131114)	(-0.02244101297,-0.02156278511)	(-0.17950153,0.8260871544)	(7.976926477e-33,1.776688275e-32)
	(-0.1951359052,0.8215908814)	(6.133150301e-33,1.672815413e-32)	(-0.250185315,0.8032560595)	(7.097829332e-33,1.731066224e-32)	(-0.2227258408,0.8129529541)
	(-0.0001827409078,0.002855012814)	(-0.02296208639,-0.02483944468)	(-0.2341022453,0.8092062517)	(-0.02191163785,-0.02236012814)	(-0.207186332,0.8180722579)
	(-0.1654300194,-0.02599274821)	(0.3486124851,0.7787027877)	(-0.1487409757,-0.01458541505)	(0.3951966954,0.7582894484)	(-0.1548426583,-0.01941528554)
	(0.3723469855,0.7688235785)	(0.01942511128,-0.01952661487)	(-0.1757759204,-0.009119847798)	(0.4339017418,0.7347266567)	(-0.1888173511,-0.02026411341)
	(0.3897652475,0.7571447892)	(-0.1905345054,-0.02608276703)	(0.3669402859,0.7681592054)	(-0.1426801229,-0.01006304354)	(0.4175915145,0.747045712)
	(0.01820575957,-0.01805873991)	(-0.1829286972,-0.01445576224)	(0.4123524428,0.746004865)	(-0.06179519389,-0.03129528852)	(0.09257534546,0.848312442)
	(0.01374658368,-0.001452052322)	(-0.1210255004,-0.06063873554)	(0.09886851263,0.8443425833)	(-0.06363561184,-0.03443519684)	(0.06728649013,0.8501287779)
	(-0.1120637087,-0.0521311247)	(0.1255514347,0.8420826964)	(0.02421955992,-0.003709936407)	(-0.1383849198,-0.0642356607)	(0.1276618554,0.8398011388)
	(-0.09614508971,-0.05020492303)	(0.08214008856,0.8474785203)	(-0.08677083229,-0.04214291334)	(0.108884106,0.8455671468)	(-0.08664939571,-0.05552565711)
	(0.0007237839206,0.8499436795)	(-0.06017398013,-0.04078670457)	(-0.02391389364,0.8503081466)	(-0.09229230051,-0.05585731837)	(0.02424576157,0.8499062547)
	(-0.06009790733,-0.03675399802)	(0.01858966631,0.8516254455)	(-0.09732500747,-0.05427193529)	(0.05692651959,0.8488701485)	(-0.05495789162,-0.03556705059)
	(-0.004816903803,0.8513998824)	(0.01286952484,-0.0008215621124)	(-0.06537268098,-0.03772512999)	(0.04209824462,0.8511305397)	(0.01488977178,-0.001447858562)
	(-0.09136978912,-0.06134859782)	(-0.01829012879,0.8488224351)	(-0.06170849138,-0.04617813315)	(-0.06601383081,0.8465840749)	(-0.0652052557,-0.04625715915)
